gold_publication,questel_family_id_fan,record_id,mapping_status,exp013_rank,exp016a_rank,rank_improvement,exp016a_score
US10107579B2,78611350,BC001-7B265B30DE83,exact,15,1,14,69.0
US10591237B1,87877222,BC001-91D38DDF387D,exact,17,221,-204,18.0
US20240384959A1,112187483,BC001-A2A50F75BB2B,exact,83,64,19,27.6
US20210080208A1,93172959,BC001-61AD482D45CE,exact,98,49,49,29.5
US11792283B2,94738062,BC001-11EE61D254C5,exact,147,226,-79,17.0
US20140259847A1,67434307,BC001-32640DA4A61F,exact,555,2967,-2412,0.0
