publication,record_id,family_id,exp013_rank,exp016a_rank,exp018a_rank,exp013_improvement,exp016a_improvement,exp016a_score,exp018a_score
US10107579B2,BC001-7B265B30DE83,78611350,15,1,1,14,0,69.0,69.0
US10591237B1,BC001-91D38DDF387D,87877222,17,221,6,11,215,18.0,62.0
US20240384959A1,BC001-A2A50F75BB2B,112187483,83,64,124,-41,-60,27.6,22.0
US20210080208A1,BC001-61AD482D45CE,93172959,98,49,56,42,-7,29.5,29.5
US11792283B2,BC001-11EE61D254C5,94738062,147,226,54,93,172,17.0,30.6
US20140259847A1,BC001-32640DA4A61F,67434307,555,2967,973,-418,1994,0.0,2.0
